"","subject","sex","age","MinInEyesSum"
"1",1,"Weiblich",11,NA
"2",2,"Weiblich",10,9
"3",3,"Maennlich",12,16
"4",5,"Weiblich",12,24
"5",6,"Weiblich",12,20
"6",7,"Maennlich",12,18
"7",8,"Weiblich",11,22
"8",9,"Weiblich",11,21
"9",10,"Weiblich",10,18
"10",11,"Weiblich",10,15
"11",12,"Maennlich",11,5
"12",13,"Weiblich",11,18
"13",14,"Weiblich",12,21
"14",15,"Weiblich",12,21
"15",16,"Weiblich",13,22
"16",17,"Weiblich",12,22
"17",18,"Weiblich",11,17
"18",19,"Weiblich",11,16
"19",20,"Maennlich",10,15
"20",21,"Weiblich",11,16
"21",22,"Maennlich",11,18
"22",23,"Weiblich",11,18
"23",24,"Weiblich",11,17
"24",25,"Maennlich",11,21
"25",27,"Maennlich",11,12
"26",28,"Weiblich",11,24
"27",30,"Maennlich",13,12
"28",31,"Weiblich",10,15
"29",32,"Maennlich",11,21
"30",33,"Maennlich",11,16
"31",34,"Weiblich",11,16
"32",35,"Weiblich",11,18
"33",36,"Weiblich",10,18
"34",43,"Weiblich",10,15
"35",47,"Maennlich",12,18
"36",48,"Weiblich",10,10
"37",49,"Maennlich",10,21
"38",50,"Weiblich",10,20
"39",53,"Weiblich",14,14
"40",57,"Weiblich",13,NA
"41",59,"Maennlich",13,NA
"42",60,"Weiblich",13,NA
"43",62,"Weiblich",13,17
"44",64,"Maennlich",14,14
"45",69,"Maennlich",14,23
"46",70,"Maennlich",14,16
"47",75,"Maennlich",14,22
"48",84,"Maennlich",14,17
"49",86,"Maennlich",14,20
"50",87,"Maennlich",13,20
"51",91,"Maennlich",13,22
"52",92,"Maennlich",14,24
"53",93,"Maennlich",14,21
"54",95,"Maennlich",14,21
"55",151,"Maennlich",13,23
"56",152,"Maennlich",10,10
"57",153,"Maennlich",10,14
"58",154,"Maennlich",10,17
"59",155,"Maennlich",10,16
"60",156,"Maennlich",10,14
"61",157,"Maennlich",10,14
"62",158,"Maennlich",12,14
"63",159,"Maennlich",13,14
"64",160,"Maennlich",12,17
"65",161,"Maennlich",12,19
"66",162,"Maennlich",13,21
"67",163,"Maennlich",12,17
"68",164,"Weiblich",12,18
"69",165,"Weiblich",12,19
"70",166,"Weiblich",14,18
"71",167,"Weiblich",14,17
