"","sex","age","subject"
"1","Weiblich",11,1
"2","Weiblich",10,2
"3","Maennlich",12,3
"4","Weiblich",12,5
"5","Weiblich",12,6
"6","Maennlich",12,7
"7","Weiblich",11,8
"8","Weiblich",11,9
"9","Weiblich",10,10
"10","Weiblich",10,11
"11","Maennlich",11,12
"12","Weiblich",11,13
"13","Weiblich",12,14
"14","Weiblich",12,15
"15","Weiblich",13,16
"16","Weiblich",12,17
"17","Weiblich",11,18
"18","Weiblich",11,19
"19","Maennlich",10,20
"20","Weiblich",11,21
"21","Maennlich",11,22
"22","Weiblich",11,23
"23","Weiblich",11,24
"24","Maennlich",11,25
"25","Maennlich",11,27
"26","Weiblich",11,28
"27","Maennlich",13,30
"28","Weiblich",10,31
"29","Maennlich",11,32
"30","Maennlich",11,33
"31","Weiblich",11,34
"32","Weiblich",11,35
"33","Weiblich",10,36
"34","Weiblich",10,43
"35","Maennlich",12,47
"36","Weiblich",10,48
"37","Maennlich",10,49
"38","Weiblich",10,50
"39","Weiblich",14,53
"40","Weiblich",13,57
"41","Maennlich",13,59
"42","Weiblich",13,60
"43","Weiblich",13,62
"44","Maennlich",14,64
"45","Maennlich",14,69
"46","Maennlich",14,70
"47","Maennlich",14,75
"48","Maennlich",14,84
"49","Maennlich",14,86
"50","Maennlich",13,87
"51","Maennlich",13,91
"52","Maennlich",14,92
"53","Maennlich",14,93
"54","Maennlich",14,95
"55","Maennlich",13,151
"56","Maennlich",10,152
"57","Maennlich",10,153
"58","Maennlich",10,154
"59","Maennlich",10,155
"60","Maennlich",10,156
"61","Maennlich",10,157
"62","Maennlich",12,158
"63","Maennlich",13,159
"64","Maennlich",12,160
"65","Maennlich",12,161
"66","Maennlich",13,162
"67","Maennlich",12,163
"68","Weiblich",12,164
"69","Weiblich",12,165
"70","Weiblich",14,166
"71","Weiblich",14,167
